cruise,type::cruise,datatype::cruise,xml:lang::cruise,cruise_id,type::cruise_id,datatype::cruise_id,xml:lang::cruise_id,doi,type::doi,datatype::doi,xml:lang::doi
http://data.rvdata.us/id/cruise/KM1601,uri,,,KM1601,literal,,,10.7284/906869,literal,,
http://data.rvdata.us/id/cruise/KM1602,uri,,,KM1602,literal,,,10.7284/906870,literal,,
http://data.rvdata.us/id/cruise/KM1603,uri,,,KM1603,literal,,,10.7284/906871,literal,,
http://data.rvdata.us/id/cruise/KM1702,uri,,,KM1702,literal,,,10.7284/907434,literal,,
http://data.rvdata.us/id/cruise/KM1708,uri,,,KM1708,literal,,,10.7284/907521,literal,,
http://data.rvdata.us/id/cruise/KN195-07,uri,,,KN195-07,literal,,,10.7284/900500,literal,,
http://data.rvdata.us/id/cruise/KOK0001,uri,,,KOK0001,literal,,,10.7284/904291,literal,,
http://data.rvdata.us/id/cruise/KOK0004,uri,,,KOK0004,literal,,,10.7284/904315,literal,,
http://data.rvdata.us/id/cruise/KOK0005,uri,,,KOK0005,literal,,,10.7284/904316,literal,,
http://data.rvdata.us/id/cruise/KOK0007,uri,,,KOK0007,literal,,,10.7284/904295,literal,,
http://data.rvdata.us/id/cruise/KOK0009,uri,,,KOK0009,literal,,,10.7284/904296,literal,,
http://data.rvdata.us/id/cruise/KOK0010,uri,,,KOK0010,literal,,,10.7284/904297,literal,,
http://data.rvdata.us/id/cruise/KOK0012,uri,,,KOK0012,literal,,,10.7284/904298,literal,,
http://data.rvdata.us/id/cruise/KOK0014,uri,,,KOK0014,literal,,,10.7284/904299,literal,,
http://data.rvdata.us/id/cruise/KOK0016,uri,,,KOK0016,literal,,,10.7284/904300,literal,,
http://data.rvdata.us/id/cruise/KOK0017,uri,,,KOK0017,literal,,,10.7284/904301,literal,,
http://data.rvdata.us/id/cruise/KOK0020,uri,,,KOK0020,literal,,,10.7284/904240,literal,,
http://data.rvdata.us/id/cruise/KOK0102,uri,,,KOK0102,literal,,,10.7284/904200,literal,,
http://data.rvdata.us/id/cruise/KOK0103,uri,,,KOK0103,literal,,,10.7284/904201,literal,,
http://data.rvdata.us/id/cruise/KOK0105,uri,,,KOK0105,literal,,,10.7284/904210,literal,,
http://data.rvdata.us/id/cruise/KOK0106,uri,,,KOK0106,literal,,,10.7284/904202,literal,,
http://data.rvdata.us/id/cruise/KOK0107,uri,,,KOK0107,literal,,,10.7284/904242,literal,,
http://data.rvdata.us/id/cruise/KOK0109,uri,,,KOK0109,literal,,,10.7284/904243,literal,,
http://data.rvdata.us/id/cruise/KOK0110,uri,,,KOK0110,literal,,,10.7284/904244,literal,,
http://data.rvdata.us/id/cruise/KOK0112,uri,,,KOK0112,literal,,,10.7284/904303,literal,,
http://data.rvdata.us/id/cruise/KOK0115,uri,,,KOK0115,literal,,,10.7284/904304,literal,,
http://data.rvdata.us/id/cruise/KOK0117,uri,,,KOK0117,literal,,,10.7284/904305,literal,,
http://data.rvdata.us/id/cruise/KOK0119,uri,,,KOK0119,literal,,,10.7284/904245,literal,,
http://data.rvdata.us/id/cruise/KOK0121,uri,,,KOK0121,literal,,,10.7284/904246,literal,,
http://data.rvdata.us/id/cruise/KOK0201,uri,,,KOK0201,literal,,,10.7284/904247,literal,,
http://data.rvdata.us/id/cruise/KOK0204,uri,,,KOK0204,literal,,,10.7284/904248,literal,,
http://data.rvdata.us/id/cruise/KOK0205,uri,,,KOK0205,literal,,,10.7284/904249,literal,,
http://data.rvdata.us/id/cruise/KOK0206,uri,,,KOK0206,literal,,,10.7284/904250,literal,,
http://data.rvdata.us/id/cruise/KOK0210,uri,,,KOK0210,literal,,,10.7284/904252,literal,,
http://data.rvdata.us/id/cruise/KOK0220,uri,,,KOK0220,literal,,,10.7284/904253,literal,,
http://data.rvdata.us/id/cruise/KOK0301,uri,,,KOK0301,literal,,,10.7284/904254,literal,,
http://data.rvdata.us/id/cruise/KOK0304,uri,,,KOK0304,literal,,,10.7284/904255,literal,,
http://data.rvdata.us/id/cruise/KOK0307,uri,,,KOK0307,literal,,,10.7284/904256,literal,,
http://data.rvdata.us/id/cruise/KOK0308,uri,,,KOK0308,literal,,,10.7284/904257,literal,,
http://data.rvdata.us/id/cruise/KOK0310,uri,,,KOK0310,literal,,,10.7284/904259,literal,,
